remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.21392388902649254,0.995023888027837,0.4553316102084732,0.9756448957880753,0.9637434302160455,Particulate,0.0
Particulate,0.2060448243039851,0.9953836897017397,0.45107269381651566,0.9760983729954171,0.966554934108442,ParticulateMax,0.0
ParticulateMax,0.20881832021305272,0.9952585762637485,0.4503181903821661,0.976178266003383,0.9653095706256319,ParticulateMin,0.0
ParticulateMin,0.21484311262601322,0.9949810317850607,0.46226787841558725,0.9748972198046277,0.9639159468183671,RainIntensity,0.0
RainIntensity,0.2122184110676911,0.9951029144518774,0.4582742911248001,0.9753290780934775,0.9643863175300325,RainIntensityMax,0.0
RainIntensityMax,0.2167812893696698,0.9948900674934938,0.44916861344495784,0.9762997354991416,0.9625751564588843,RainIntensityMin,0.0
RainIntensityMin,0.2097616786214999,0.9952156397507663,0.4557776579534615,0.9755971553716887,0.96481888375607,SYNOPCode,0.0
SYNOPCode,0.21204189540502769,0.9951110575041481,0.45299595431207174,0.9758941174247642,0.9643435671325017,WindSpeed,0.00025352967929994415
WindSpeed,0.1978747786404152,0.9957425215552618,0.46456048592657806,0.974647608978767,0.9690074076778945,WindSpeedMin,0.0010592753997554342
WindSpeedMin,0.21299390584254782,0.9950670589103736,0.44884805189764687,0.9763335521202866,0.9641647132201308,WindSpeedMax,0.001555924129669585
WindSpeedMax,0.22386191118598617,0.9945508095339728,0.45330575465285383,0.9758611345063863,0.9610041672220694,WindDirection,0.0017230051676758967
WindDirection,0.20874687442885076,0.9952618202012095,0.44029067565512775,0.9772273607509488,0.965934294627804,Visibility,0.0019962572034847043
Visibility,0.21046543972814916,0.9951834823520247,0.43221915725753746,0.978054654915521,0.9653126352348538,Distance,0.002291797533308227
Distance,0.2059208591457834,0.9953892427603048,0.43887432787211994,0.9773736372943226,0.9667801046595882,Frequency,0.0035113523604838777
Frequency,0.22110365681610136,0.9946842637488705,0.4853863404410101,0.9723236068779827,0.961181940317846,VisibilityMax,0.0035686861240991304
VisibilityMax,0.2261985756433034,0.9944364588380477,0.4830100110930322,0.9725939368292714,0.959662898762616,VisibilityMin,0.007061589407917433
VisibilityMin,0.24032407205331213,0.9937199063230908,0.47940841392588496,0.9730011234079956,0.9552958235122079,TemperatureDifference,0.023571677788816192
TemperatureDifference,0.24464284933918748,0.9934921636049907,0.48194203551271764,0.9727149970451494,0.9535025810927502,RelativeHumidity,0.031454082069811526
RelativeHumidity,0.25116768261751604,0.9931403952720074,0.5113898930689583,0.9692787649585118,0.9496383331971823,AbsoluteHumidityMin,0.06869939004964978
AbsoluteHumidityMin,0.2538867367470718,0.9929910719638633,0.5097217101125948,0.9694788668901133,0.9493718236593802,TemperatureMax,0.09664300636416144
TemperatureMax,0.24856020289498923,0.9932820809973683,0.5012750290842068,0.9704820269646925,0.9521379105614225,Temperature,0.17418942003693302
Temperature,0.2860614047869469,0.9911020469912203,0.5286298449384521,0.9671725047621946,0.936737851506739,TemperatureMin,0.1862689969548334
TemperatureMin,0.2905739587469403,0.9908191064011455,0.5220960529114892,0.9679789764643384,0.9365618135704017,Time,0.28972177751124273
Time,0.33172328043445043,0.9880347031726829,0.5776826134107688,0.9607975704160102,0.9175380839259901,AbsoluteHumidityMax,0.46935312366482496
AbsoluteHumidityMax,0.2763416304417998,0.9916964423533028,0.6536208416095886,0.9498135849906453,0.9415620244680837,AbsoluteHumidity,1.0
AbsoluteHumidity,0.2763416304417998,0.9916964423533028,0.6536208416095886,0.9498135849906453,0.9415620244680837,AbsoluteHumidity,1.0
