n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
70,25,1,2,0.04183680771844848,0.996473873034321,0.29084030584077636,0.9752242783385899
75,25,1,2,0.04095950597807503,0.9965478145583634,0.2865144778068707,0.9755927812907971
80,25,1,2,0.04065323668156734,0.9965736278190797,0.2842524126995684,0.9757854791196503
85,25,1,2,0.040691589879068034,0.9965703953008427,0.28430619751458674,0.9757808973695292
90,25,1,2,0.04074610326907451,0.996565800754916,0.28355931080418856,0.9758445221728244
70,27,1,2,0.04126007048467291,0.9965224821138142,0.288113685955087,0.9754565500492424
75,27,1,2,0.04055136072735703,0.9965822142186853,0.28455414467233847,0.9757597755729837
80,27,1,2,0.040282317597764836,0.996604889950557,0.2832324321189421,0.9758723678845778
85,27,1,2,0.04039809636596955,0.9965951317816409,0.28444282452225145,0.9757692585675979
90,27,1,2,0.040477923526733454,0.9965884037180168,0.2846748805727029,0.975749490481812
70,29,1,2,0.041530459641968775,0.9964996929348409,0.29208681099067124,0.9751180926964245
75,29,1,2,0.04077237822602927,0.9965635862256702,0.28831912133360654,0.9754390496902638
80,29,1,2,0.04040954586508943,0.9965941667847927,0.2863848383574399,0.9756038248458029
85,29,1,2,0.040532549011760136,0.996583799724398,0.2866407596265575,0.9755820237611403
90,29,1,2,0.04061994512487541,0.996576433727613,0.2861010775696641,0.9756279974867854
70,31,1,2,0.041386563044387904,0.9965118209556119,0.29181748907206406,0.9751410353380003
75,31,1,2,0.040611050288111024,0.9965771834101409,0.28884001981844776,0.9753946760748636
80,31,1,2,0.04038752997778623,0.9965960223473493,0.2868133598038767,0.9755673205241197
85,31,1,2,0.04040683090275017,0.9965943956096586,0.28684962401493913,0.9755642312961773
90,31,1,2,0.04049286064888836,0.9965871447742279,0.2863855315492964,0.9756037657950862
70,33,1,2,0.04155776260743884,0.996497391762069,0.29653895160552746,0.9747388295941104
75,33,1,2,0.04073983312384629,0.996566329220862,0.2929169839014339,0.9750473730177731
80,33,1,2,0.04039881848613369,0.9965950709192684,0.29020565436220097,0.9752783421944909
85,33,1,2,0.040437598095394274,0.9965918024618169,0.28958548195030187,0.9753311726266928
90,33,1,2,0.04049484983994204,0.9965869771194619,0.28846736010541674,0.9754264217206323
