rfl_ori,fso_ori,rfl_1st,fso_2nd,rfl_2nd,fso_1st
1.0,-0.3051093179904682,0.9918332483268394,-0.3194303506889405,0.9918466355984545,-0.32041589856010116
-0.3051093179904682,1.0,-0.3130341206002421,0.9701846598516576,-0.3120700644785613,0.9718855306349885
0.9918332483268394,-0.3130341206002421,1.0,-0.3246887889413963,0.9992134205375267,-0.32601394131985256
-0.3194303506889405,0.9701846598516576,-0.3246887889413963,1.0,-0.3238525423428382,0.9983554547683874
0.9918466355984545,-0.3120700644785613,0.9992134205375267,-0.3238525423428382,1.0,-0.3250932731031879
-0.32041589856010116,0.9718855306349885,-0.32601394131985256,0.9983554547683874,-0.3250932731031879,1.0
1.0,-0.2609887206508308,0.9896068550588123,-0.27324022318260255,0.9897463942407047,-0.2710623285557088
-0.2609887206508308,1.0,-0.26780235194914437,0.9715310868423462,-0.2661149371802086,0.972921426374482
0.9896068550588123,-0.26780235194914437,1.0,-0.2788936190998295,0.9991903572553642,-0.2767972947187274
-0.27324022318260255,0.9715310868423462,-0.2788936190998295,1.0,-0.2771510195265593,0.99857218240277
0.9897463942407047,-0.2661149371802086,0.9991903572553642,-0.2771510195265593,1.0,-0.2749988095559599
-0.2710623285557088,0.972921426374482,-0.2767972947187274,0.99857218240277,-0.2749988095559599,1.0
1.0,-0.22809999935057462,0.9939482145904402,-0.23039725656770235,0.9942803957859744,-0.22136168137409018
-0.22809999935057462,1.0,-0.25574879441242687,0.9910915949691392,-0.254760398520256,0.9927397631830471
0.9939482145904402,-0.25574879441242687,1.0,-0.2669180209658542,0.9999020322332451,-0.25328634284733786
-0.23039725656770235,0.9910915949691392,-0.2669180209658542,1.0,-0.2653536457175629,0.997586936520247
0.9942803957859744,-0.254760398520256,0.9999020322332451,-0.2653536457175629,1.0,-0.25189100212451243
-0.22136168137409018,0.9927397631830471,-0.25328634284733786,0.997586936520247,-0.25189100212451243,1.0
1.0,-0.5907421746162181,0.994734363239274,-0.5938591006981869,0.9950712536612729,-0.5961538237711277
