remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.11734353683047537,0.9940394576939575,0.358470949136833,0.9472318966147099,0.9538754753751364,SYNOPCode,0.0
SYNOPCode,0.11811182093832857,0.9939611511866395,0.35683635038481537,0.947712036045523,0.9537200049517146,WindSpeedMin,0.0010369040634409241
WindSpeedMin,0.11839615064660548,0.9939320416394753,0.35735715288393277,0.94755929614332,0.9531543817002293,WindSpeed,0.0016408467238267083
WindSpeed,0.11963399728457055,0.9938044958181889,0.35806770825433365,0.9473505466127884,0.9524166944195313,WindDirection,0.0020582251607375694
WindDirection,0.11646724647297439,0.9941281487847794,0.34626545111716794,0.9507641004821706,0.9547280146573242,Distance,0.0024294054360700494
Distance,0.11650122866650044,0.9941247217698801,0.3531528621896657,0.948785962611884,0.9545878983599445,TemperatureMin,0.003160355261994871
TemperatureMin,0.11647324949685219,0.9941275434683059,0.3492877659353601,0.9499008563847564,0.9547229716767567,AbsoluteHumidityMax,0.004150610216895042
AbsoluteHumidityMax,0.11568919983788388,0.994206339251013,0.3461168803460212,0.9508063423299971,0.9549588465736261,VisibilityMax,0.003735221862969643
VisibilityMax,0.11618034933831399,0.9941570417560914,0.3503550206119585,0.9495942310885865,0.9549535019919696,VisibilityMin,0.006271946389608267
VisibilityMin,0.11621099288868465,0.9941539590902341,0.34268987572299664,0.9517756812307061,0.9548268322274199,TemperatureMax,0.003994383891823409
TemperatureMax,0.11514065222808743,0.9942611510084252,0.34878043950120063,0.9500462846765696,0.9555685202156661,Particulate,0.005613507718438176
Particulate,0.11529517926387733,0.994245736775729,0.3455781691108978,0.9509593574171009,0.9555006047484215,Frequency,0.008211187687678399
Frequency,0.13020890342484018,0.9926607988718882,0.37350238431036636,0.9427137610135843,0.9440504955250493,ParticulateMax,0.009229941989215817
ParticulateMax,0.1295800860582324,0.9927315140589895,0.374348839900361,0.942453815132867,0.9445109264812032,Temperature,0.010611276150379613
Temperature,0.12939660995654653,0.9927520827955885,0.3746476044632882,0.9423619242565862,0.945115287123045,AbsoluteHumidityMin,0.014289192670203541
AbsoluteHumidityMin,0.12994006238802855,0.9926910739374333,0.36474025592326637,0.9453700314687935,0.9440334588614931,Visibility,0.0156454493398875
Visibility,0.1305078117128575,0.9926270643732941,0.3717964508077408,0.9432358638999369,0.9439152770236094,ParticulateMin,0.027195417741788283
ParticulateMin,0.1293525141974001,0.99275702184236,0.3596816773331267,0.9468748483200065,0.9447084125014678,RelativeHumidity,0.032302268476171306
RelativeHumidity,0.129749266639668,0.992712522106469,0.3694156589895368,0.9439605125389303,0.9452810004908357,RainIntensity,0.058970800347577956
RainIntensity,0.12980310141719167,0.9927064734997872,0.3625002608975651,0.9460389737918643,0.9451479305948909,AbsoluteHumidity,0.05896001208464125
AbsoluteHumidity,0.15237688519194748,0.9899490847712057,0.40961878872586194,0.9310993543881926,0.9262468107434505,RainIntensityMax,0.10890126210109767
RainIntensityMax,0.1536000822889761,0.9897870707488656,0.41692458272771105,0.9286196687701221,0.9249732503640082,Time,0.1813489839590125
Time,0.17610869067747886,0.9865745453126301,0.44473605232708696,0.9187790197076906,0.9014439675863343,RainIntensityMin,0.2857037324890945
RainIntensityMin,0.30848374689837277,0.9588061862374672,0.8248483936427915,0.7206093813718533,0.7092490228261656,TemperatureDifference,0.4791940112155841
TemperatureDifference,0.3996786440256219,0.9308504571635394,1.3172318659120013,0.2874948459905744,0.5000335164617755,WindSpeedMax,1.0
WindSpeedMax,0.3996786440256219,0.9308504571635394,1.3172318659120013,0.2874948459905744,0.5000335164617755,WindSpeedMax,1.0
