n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
60,20,1,2,0.04614454837121746,0.996110804212744,0.2909850234558444,0.9752119503246303
80,20,1,2,0.04377474960355832,0.9963105376960947,0.2872728706501733,0.975528176318177
100,20,1,2,0.04365139527082536,0.9963209343554649,0.28577679022983504,0.9756556224504118
120,20,1,2,0.043451848979181334,0.9963377526931497,0.2860644725858161,0.9756311157440318
140,20,1,2,0.04311109846108902,0.9963664721307918,0.2837809323197445,0.9758256429704809
160,20,1,2,0.042878572022806205,0.9963860701304714,0.28575972112094705,0.9756570765112222
180,20,1,2,0.04252560223774817,0.9964158194432187,0.28673840415144486,0.975573705747709
200,20,1,2,0.0423642347705704,0.9964294199593294,0.28723584824327825,0.9755313301343093
60,20,1,10,0.09041478754280448,0.9923795806172316,0.32189065606227846,0.9725792019199232
80,20,1,10,0.08780296220745501,0.9925997127986017,0.3170756943991893,0.9729893725447621
100,20,1,10,0.08794283002713695,0.9925879243348659,0.313332100884329,0.9733082768681142
120,20,1,10,0.08753725213782865,0.9926221076105545,0.31251658156302636,0.9733777482560488
140,20,1,10,0.08689419436034242,0.9926763063769839,0.310612986613528,0.9735399092003116
160,20,1,10,0.08673832335379318,0.9926894436355209,0.31128095808701306,0.9734830069244838
180,20,1,10,0.0865184442365432,0.9927079756824625,0.31220664590701275,0.9734041506472997
200,20,1,10,0.08650125100216081,0.9927094247779048,0.3129382099652103,0.9733418311299584
60,20,1,50,0.31286237557440005,0.9736310555412476,0.4727687142797335,0.959726400227244
80,20,1,50,0.31065785156389764,0.9738168591908051,0.46933447282915086,0.9600189518735907
100,20,1,50,0.31041608697628476,0.973837235808387,0.470987630808024,0.9598781248247795
120,20,1,50,0.3084124709048053,0.9740061063566864,0.46985572619450977,0.9599745480270954
140,20,1,50,0.30769002100802106,0.974066996520189,0.4677634255114962,0.9601527841873293
160,20,1,50,0.3068691432383546,0.974136182469046,0.46709000546965673,0.960210150608636
180,20,1,50,0.30735557401424934,0.9740951846785988,0.4675284550135523,0.960172800545237
200,20,1,50,0.3075611344378138,0.9740778594525088,0.4685807736988244,0.9600831570043598
60,30,1,2,0.04248677540973671,0.9964190918804028,0.2964211424669592,0.9747488653641454
80,30,1,2,0.040135881557316205,0.9966172320029059,0.2903936053360518,0.975262331273994
100,30,1,2,0.03991992205758999,0.996635433693164,0.28772804322077444,0.9754894016755616
120,30,1,2,0.0396860431435941,0.9966551456834022,0.28702225978753804,0.9755495250269126
140,30,1,2,0.039306090816675,0.9966871691626943,0.28540231618109396,0.975687522653426
160,30,1,2,0.03909260740447766,0.9967051621611454,0.2877984888229513,0.9754834006482048
180,30,1,2,0.038763218447913944,0.9967329240135733,0.2881530761852417,0.9754531945260948
200,30,1,2,0.03863239759282747,0.9967439499730083,0.28871738000888525,0.9754051233537494
60,30,1,10,0.08729724364131847,0.9926423362197073,0.31626823420270195,0.9730581574025658
80,30,1,10,0.08480210389036184,0.9928526338030744,0.3107754995247137,0.9735260652640585
100,30,1,10,0.08519028528026235,0.9928199167545914,0.3095576562589126,0.9736298092953181
120,30,1,10,0.08478114179382978,0.9928544005491019,0.30941242080897985,0.9736421814219135
140,30,1,10,0.08429600895995905,0.9928952889452473,0.3079230547190551,0.9737690555825951
160,30,1,10,0.08414575644338755,0.9929079526612246,0.3089866621203477,0.9736784503934165
180,30,1,10,0.0839642740790172,0.9929232485189561,0.3098301037433258,0.973606600397151
200,30,1,10,0.08394715411531646,0.9929246914389337,0.31097053390175156,0.9735094509319221
60,30,1,50,0.31229616244496516,0.9736787776188368,0.4724670052998581,0.9597521018152221
80,30,1,50,0.31008661438463275,0.9738650047098217,0.4690534843727255,0.9600428883488544
100,30,1,50,0.30950179950572954,0.9739142945965719,0.47070145327072715,0.9599025033406434
120,30,1,50,0.3075952917881731,0.9740749805723852,0.469375220860385,0.9600154806838697
