remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.14834861487967252,0.9966343427853754,0.3924740798783202,0.9763922702186161,0.9748262882344955,SYNOPCode,0.0
SYNOPCode,0.14866992073520466,0.9966197477523067,0.3931593965744272,0.9763097531941917,0.9746430313656248,RainIntensity,9.810467316261813e-06
RainIntensity,0.1490553726744084,0.9966021972780216,0.3932279442308267,0.9763014916469551,0.9745576711781682,RainIntensityMax,1.1057632096747388e-05
RainIntensityMax,0.14863688780806972,0.9966212496999883,0.3927266014546448,0.9763618815673694,0.9747524712316448,RainIntensityMin,3.673614442061484e-05
RainIntensityMin,0.14850560924786885,0.9966272154007312,0.3920128561809373,0.9764477237993177,0.9746920359136914,ParticulateMax,8.767465703666633e-05
ParticulateMax,0.14842582463392048,0.996630838483153,0.3930330193733135,0.9763249807376775,0.9747245103195205,ParticulateMin,0.00016397244346735233
ParticulateMin,0.14978360324429196,0.9965689153071718,0.3916334096610596,0.9764932963050316,0.9742668988665938,Particulate,0.00031258881381317433
Particulate,0.14906057376935142,0.9966019601499991,0.3939574573031445,0.9762134795485758,0.9745392524757576,WindDirection,0.0011743093027833254
WindDirection,0.14825524236456486,0.9966385782274089,0.3914407940712683,0.9765164130466045,0.9748791697280685,WindSpeedMin,0.0010800296610469207
WindSpeedMin,0.14817763340673346,0.9966420965941711,0.3887207526547689,0.9768416443375739,0.9748815893528655,WindSpeed,0.002255143290269827
WindSpeed,0.14899353559058412,0.9966050159168245,0.3949459190928927,0.9760939663234766,0.9745571096170158,TemperatureMin,0.0033682703205457853
TemperatureMin,0.14607654568651857,0.9967366483753546,0.39206410248736384,0.9764415656030482,0.9754466133835379,TemperatureDifference,0.004348341308465939
TemperatureDifference,0.15046351026843197,0.9965376954250239,0.39321961388514426,0.9763024957194202,0.9742219902644504,TemperatureMax,0.005163505567001987
TemperatureMax,0.1491815120770248,0.9965964440045938,0.39121869433441003,0.9765430542086565,0.9745238973402333,WindSpeedMax,0.00630640377370685
WindSpeedMax,0.14556509124455444,0.996759460165751,0.370342031757601,0.9789797307191582,0.9756663915609471,VisibilityMax,0.008940050924105805
VisibilityMax,0.14284249867426008,0.9968795461248112,0.36802308434875525,0.9792421491506674,0.9765491344381659,Time,0.011294610641141437
Time,0.1742435601120947,0.9953568109951694,0.45000707041551213,0.9689636285960986,0.9656041748145547,RelativeHumidity,0.012529197478476625
RelativeHumidity,0.17599600388480702,0.9952629441575797,0.45974052832821083,0.9676065020710856,0.9648734730347142,VisibilityMin,0.021702432334754877
VisibilityMin,0.17354792132873798,0.9953938113269032,0.45644068395125914,0.9680698498717543,0.9659391281396539,Frequency,0.021828614164134515
Frequency,0.2419239348227389,0.9910492265375213,0.6204358746570517,0.941003524323104,0.9362069732752568,AbsoluteHumidityMax,0.04317445887741863
AbsoluteHumidityMax,0.2433201862629448,0.990945610541269,0.6192631884583435,0.9412263321036652,0.9356878483329856,Visibility,0.0566488649043759
Visibility,0.26363309064359863,0.9893707472891168,0.6549162417477267,0.9342639222748366,0.9243417762475827,Temperature,0.05869890397462911
Temperature,0.34610022269241525,0.9816807939317062,0.8438779821616387,0.8908580831336314,0.8872605311445255,AbsoluteHumidityMin,0.10070934364355742
AbsoluteHumidityMin,0.3532517101340379,0.9809159108581748,0.8664832024490077,0.8849325307586615,0.8841675573948561,AbsoluteHumidity,0.4619870361076624
AbsoluteHumidity,0.8440788900717507,0.8910395298773331,1.2648546219449004,0.7548039386628843,0.7469033437097272,Distance,1.0
Distance,0.8440788900717507,0.8910395298773331,1.2648546219449004,0.7548039386628843,0.7469033437097272,Distance,1.0
