remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.19801796694680984,0.9966765675677622,0.5060067721023563,0.9784647932420589,0.9761913367317926,WindDirection,0.001060748309226287
WindDirection,0.19667473185131315,0.9967215029853677,0.5018527256446286,0.9788169270550378,0.9764531771826958,WindSpeed,0.0012430796523120124
WindSpeed,0.19764010423187525,0.9966892391757567,0.5040244278543269,0.9786331964079218,0.9762618111578466,WindSpeedMin,0.0022162943151715106
WindSpeedMin,0.1965783533325726,0.9967247153885306,0.5062475110770273,0.9784442970861075,0.9765688065262103,ParticulateMin,0.002933588619698298
ParticulateMin,0.19735249237120475,0.9966988680032582,0.5078080107264603,0.9783112020688227,0.9763181736721089,WindSpeedMax,0.003379417105473089
WindSpeedMax,0.19588668908725196,0.9967477231287163,0.503310523517427,0.9786936817735741,0.9767481183119608,TemperatureMin,0.004012976986075986
TemperatureMin,0.1942689872756457,0.9968012182357476,0.497715973300323,0.9791647102212031,0.9770906828999659,TemperatureMax,0.005419628695503997
TemperatureMax,0.19148105593782033,0.9968923701337374,0.4949278297732967,0.9793974898382841,0.9777349349230774,Particulate,0.00624279722194351
Particulate,0.19059040279139874,0.996921212498308,0.4923941974843848,0.9796078864776785,0.9779644322474145,VisibilityMin,0.00643436310508556
VisibilityMin,0.19036686800846708,0.9969284302017936,0.49121891580443044,0.9797051170100836,0.977910161634914,AbsoluteHumidityMax,0.006630985647078186
AbsoluteHumidityMax,0.1883535166359442,0.9969930574874384,0.4831973834049752,0.9803625299818687,0.9784135683992414,TemperatureDifference,0.00706440093379081
TemperatureDifference,0.19721314201125048,0.9967035282081418,0.5060199154565413,0.978463674488155,0.9763613377350893,AbsoluteHumidityMin,0.00829307439728546
AbsoluteHumidityMin,0.19359240174522604,0.9968234603933223,0.4974501568247036,0.9791869593940263,0.9772181219105698,Time,0.009733333990779369
Time,0.2185663401677531,0.9959510331650736,0.5677297165251786,0.9728906165034132,0.9711285049801295,VisibilityMax,0.010923056415084245
VisibilityMax,0.2175651727747799,0.995988041694113,0.5613610781165682,0.97349541659138,0.9713225092372446,Frequency,0.011944674491170627
Frequency,0.2856827592508816,0.9930825548735601,0.718684221336,0.956557720303728,0.9533867034428859,RelativeHumidity,0.02071186183665063
RelativeHumidity,0.28968874631559327,0.9928871949161082,0.7386816220472177,0.9541065215727956,0.9516954879719075,ParticulateMax,0.02216432190200615
ParticulateMax,0.2896250397623651,0.9928903229801177,0.7480778668626905,0.952931538987446,0.9515612055500636,Visibility,0.037030254462725384
Visibility,0.3281633496458747,0.9908723745395418,0.8320405661180007,0.9417728693870683,0.9384899665646851,SYNOPCode,0.04006255421699401
SYNOPCode,0.34107031208303173,0.9901402592401554,0.8477415142880066,0.9395545952732042,0.9354675009995695,Temperature,0.07066694003240777
Temperature,0.4439437722837728,0.9832954956042883,1.0458694289885113,0.9079992591457249,0.9049086040684401,RainIntensityMin,0.08307780013361266
RainIntensityMin,0.44494459339023096,0.9832200938697113,1.048694514104598,0.9075015661285559,0.90435445503785,RainIntensityMax,0.15643480043336536
RainIntensityMax,0.4438435030804184,0.9833030405156074,1.0481162626255236,0.9076035455114576,0.9048315612201905,Distance,0.25457454277974145
Distance,1.0220845830094385,0.9114575909374801,2.079139106905602,0.6364170728760454,0.6356816302428753,RainIntensity,0.4724464894120684
RainIntensity,1.6635093336228506,0.7654539393976879,3.29407825464456,0.0873500979022992,0.07508022118604418,AbsoluteHumidity,1.0
AbsoluteHumidity,1.6635093336228506,0.7654539393976879,3.29407825464456,0.0873500979022992,0.07508022118604418,AbsoluteHumidity,1.0
