n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
60,27,1,2,0.10495935961620308,0.9931646822109964,0.7109580996919276,0.9527406463208241
70,27,1,2,0.10336829755806295,0.9932682976944481,0.7071681836315714,0.9529925725364314
80,27,1,2,0.10230512883895916,0.9933375349314604,0.7065161469032815,0.9530359152233878
90,27,1,2,0.10139459522435874,0.9933968320407046,0.7056338089048111,0.9530945666735258
100,27,1,2,0.10047313147602119,0.9934568409581939,0.7060642388404238,0.9530659548037546
110,27,1,2,0.09982571331294209,0.9934990030760193,0.7025210850431209,0.9533014780484
60,29,1,2,0.1041597025356681,0.9932167586555143,0.7060391524867953,0.9530676223631496
70,29,1,2,0.1026029435765598,0.9933181402020985,0.7043537637350804,0.9531796548206724
80,29,1,2,0.1015289233453888,0.9933880841272399,0.7029152273241975,0.953275278319514
90,29,1,2,0.10065454837034014,0.9934450264603778,0.7025337050741163,0.9533006391599923
100,29,1,2,0.09982114608447985,0.9934993005097886,0.7028214355609342,0.9532815129177472
110,29,1,2,0.09912714178413887,0.9935444964785627,0.6994819083296488,0.9535035005406647
60,31,1,2,0.10361377760408766,0.9932523111818439,0.707253221900378,0.952986919807215
70,31,1,2,0.10206568564120984,0.9933531283035524,0.7064800820844499,0.9530383125517666
80,31,1,2,0.10087853746138342,0.9934304395133523,0.7045558875307945,0.9531662190922479
90,31,1,2,0.10003658616934835,0.9934852703037169,0.7040050849326129,0.9532028324662374
100,31,1,2,0.09915668380134078,0.9935425725998687,0.7048304158522656,0.9531479704344931
110,31,1,2,0.09851893722243955,0.9935841048705645,0.7015086791079561,0.9533687754744756
60,33,1,2,0.10392647203399795,0.9932319474352748,0.707651075632368,0.9529604733679089
70,33,1,2,0.10214211985405927,0.9933481506423254,0.7056155051228276,0.9530957833766013
80,33,1,2,0.10110220398847206,0.9934158735728111,0.705000409211885,0.9531366705051317
90,33,1,2,0.10021853431344975,0.9934734212090711,0.703645799217987,0.9532267151826264
100,33,1,2,0.09926533757669717,0.9935354966889042,0.7033036016785932,0.9532494620006869
110,33,1,2,0.09872289691081637,0.9935708223077583,0.6995203994513314,0.9535009419292164
60,35,1,2,0.10339649181063011,0.9932664615868649,0.7091716270039982,0.9528593981075097
70,35,1,2,0.10177367163202418,0.9933721452693468,0.7077509409262543,0.9529538350452762
80,35,1,2,0.10075948058476067,0.9934381929103782,0.7059215454900052,0.9530754400259048
90,35,1,2,0.09996632548348115,0.9934898459234399,0.7048679792364287,0.9531454734923268
100,35,1,2,0.09907521171085525,0.9935478783451728,0.7048018992893041,0.9531498660094014
110,35,1,2,0.09846578348126692,0.9935875664266746,0.7010000425104129,0.9534025859576362
