remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.3837421447068229,0.9850581289913302,0.8727458087157455,0.9109123102196852,0.8890345548381322,SYNOPCode,0.0
SYNOPCode,0.38571275280651157,0.9849042747695992,0.8662836353752256,0.9122267106477212,0.8882604781224794,WindSpeedMin,0.004122303122063064
WindSpeedMin,0.38171451694369174,0.9852156124057015,0.8712901873298805,0.911209234713789,0.890505014146147,WindDirection,0.004365897947765347
WindDirection,0.3769993423639592,0.9855786083564212,0.8480571651113631,0.915881327781279,0.8933248586164015,Time,0.005789300713413659
Time,0.3797261211223674,0.9853692384609737,0.8709131097822529,0.911286071936444,0.8915670622709039,WindSpeedMax,0.006261571686856041
WindSpeedMax,0.37464218961245754,0.9857583813631786,0.859092766636761,0.9136778441489337,0.8947879200094419,TemperatureMin,0.009090455692730735
TemperatureMin,0.3781575155941423,0.9854898648306396,0.8527678259921596,0.9149442327773493,0.8929486734369804,WindSpeed,0.009391674924898974
WindSpeed,0.37244766751360264,0.9859247374840153,0.8553414153448065,0.9144300742454979,0.8961651781214897,Temperature,0.013464418099842125
Temperature,0.3718393461117945,0.9859706783866001,0.8682114035596,0.9118356266699931,0.8961644499579666,ParticulateMax,0.01405847040254524
ParticulateMax,0.3702705012127029,0.9860888121910298,0.8596860704382832,0.9135585719346412,0.896806936346971,RelativeHumidity,0.017501789859726287
RelativeHumidity,0.3769718411285287,0.9855807122944206,0.8841292726906086,0.9085731634424491,0.8932799268560535,Frequency,0.020557404558695123
Frequency,0.4379175445057652,0.9805414409905131,0.9766207963892691,0.8884437031352899,0.8560194485902617,TemperatureDifference,0.023765634292342793
TemperatureDifference,0.4534671828476453,0.979135032539911,1.0189125926726783,0.8785727910562154,0.8445596263704209,TemperatureMax,0.02836072270536891
TemperatureMax,0.4499042524110966,0.9794616201337801,1.0255775363990889,0.87697902835685,0.846921979836217,Particulate,0.026544521218689207
Particulate,0.4467413640712717,0.979749380300074,1.0179036494857692,0.8788131502368332,0.8488923358175455,Distance,0.03247845332683294
Distance,0.46209359143641315,0.9783336438879828,1.0971925547376393,0.8591983133615646,0.8403086025454788,Visibility,0.04048720248621434
Visibility,0.46076161356190887,0.9784583697639699,1.0987626018689052,0.8587950597086448,0.8408300646792072,VisibilityMax,0.061550018274077106
VisibilityMax,0.4633682663868051,0.9782139466961979,1.09607163351639,0.8594858599319717,0.8390498327802507,ParticulateMin,0.0636911152885402
ParticulateMin,0.46471885781702094,0.978086760867748,1.1285828357754801,0.8510264952119321,0.8375465717292215,RainIntensityMax,0.10763656561381088
RainIntensityMax,0.46477522330887444,0.978081444856201,1.1237497498368074,0.8522997027196986,0.8378196891433706,AbsoluteHumidityMax,0.10745392419665584
AbsoluteHumidityMax,0.46792256653515657,0.9777835856415609,1.1025835481763113,0.8578112719219142,0.8355860503877459,VisibilityMin,0.15507844184021527
VisibilityMin,0.5286174934858898,0.9716463451650535,1.3584541632276461,0.7841599010131264,0.7902181354894531,RainIntensityMin,0.2021388270595601
RainIntensityMin,0.5287822976066787,0.9716286630882397,1.3276885402553225,0.7938256819470122,0.7902227523555638,AbsoluteHumidityMin,0.2429732571556672
AbsoluteHumidityMin,0.5421648641459603,0.9701744319434229,1.4077699319332297,0.7682042209190443,0.7812345760617285,RainIntensity,0.45053883923127414
RainIntensity,0.9601802112254461,0.9064526502347677,2.3795272998058317,0.3377476062295466,0.31035497695966663,AbsoluteHumidity,1.0
AbsoluteHumidity,0.9601802112254461,0.9064526502347677,2.3795272998058317,0.3377476062295466,0.31035497695966663,AbsoluteHumidity,1.0
