n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
50,10,1,2,0.35742146401233066,0.9698754868954645,0.5181158299325911,0.9558634297482552
70,10,1,2,0.35540545754425273,0.9700454017421688,0.5144663473096273,0.9561743170766581
90,10,1,2,0.35542710252576143,0.9700435774406235,0.5124590707583596,0.9563453103129219
110,10,1,2,0.35536308733108807,0.9700489728260857,0.5138561570482372,0.956226297162544
130,10,1,2,0.3534874023597822,0.970207060971839,0.5110580309595834,0.956464660249619
150,10,1,2,0.353086987852346,0.9702408090627932,0.5124974870198554,0.9563420377589362
170,10,1,2,0.35300139394911534,0.970248023164125,0.5133721066801523,0.9562675318090113
190,10,1,2,0.3526182136760946,0.9702803187040359,0.513555012425099,0.9562519506748423
50,20,1,2,0.05775846110074504,0.9951319501106761,0.3464697594948771,0.9704853895661897
70,20,1,2,0.05587254444388423,0.9952909006124336,0.3454213231919587,0.9705747023797824
90,20,1,2,0.054835166071246486,0.9953783338572928,0.3411522987164841,0.9709383664251229
110,20,1,2,0.05450745113659184,0.9954059546183202,0.34135799695722757,0.9709208436737828
130,20,1,2,0.05415858535447322,0.9954353580338486,0.3410492026215816,0.9709471488397345
150,20,1,2,0.053789918433701615,0.9954664303465222,0.3409729120420071,0.9709536477813426
170,20,1,2,0.053716017766750716,0.995472658908134,0.34072993676081254,0.9709743460402035
190,20,1,2,0.05360888068812222,0.995481688730498,0.3402461496364542,0.9710155582618102
50,30,1,2,0.05060535025523654,0.9957348349486059,0.344816685661093,0.9706262094469597
70,30,1,2,0.0484620971735734,0.9959154745073502,0.3427815390013583,0.970799576845388
90,30,1,2,0.04765966278051437,0.9959831059951681,0.3407450610000807,0.9709730576563897
110,30,1,2,0.0472941033662367,0.9960139163982209,0.3411520760394346,0.9709383853942426
130,30,1,2,0.04701338597830525,0.9960375760702967,0.3405555977814047,0.9709891974000109
150,30,1,2,0.046753607112070224,0.9960594709833004,0.3410620670809191,0.970946052959083
170,30,1,2,0.04665164791481629,0.9960680643988701,0.3406575677909366,0.9709805109128795
190,30,1,2,0.04652166243628619,0.9960790199503566,0.3404717016943992,0.9709963442295885
50,40,1,2,0.050672705024475115,0.9957291580941557,0.3469976860340884,0.9704404172541321
70,40,1,2,0.048683134190609864,0.995896844869271,0.3443624816887575,0.9706649015778992
90,40,1,2,0.04756842863963961,0.9959907954720157,0.34078444113332207,0.9709697029933647
110,40,1,2,0.04717076838470755,0.9960243114266156,0.34121399739463404,0.9709331105192321
130,40,1,2,0.046883926065575135,0.9960484873255799,0.3404262071092719,0.9710002197625032
150,40,1,2,0.046620519106028706,0.9960706880247646,0.34046285596714837,0.9709970977677738
170,40,1,2,0.04650470978717303,0.9960804487685776,0.34065850579199564,0.9709804310076784
190,40,1,2,0.04637443949792741,0.9960914283247337,0.34059507623463714,0.9709858343614318
