n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
10,5,1,2,1.964252109601832,0.8344471600780239,1.9930858422968152,0.8302156231981249
30,5,1,2,1.9228916991814045,0.8379331349037443,1.9590930030934213,0.8331113605002491
50,5,1,2,1.9169456085422028,0.8384342885932027,1.9542101893971382,0.8335273112148995
70,5,1,2,1.9112771029811162,0.8389120466107016,1.9490977027289451,0.8339628270087737
90,5,1,2,1.9231017821929592,0.8379154285008787,1.95415359541019,0.8335321322690663
110,5,1,2,1.9200320847440064,0.8381741514661698,1.9517556297504284,0.8337364070155397
130,5,1,2,1.911742355812752,0.8388728337585516,1.9448778907602327,0.8343222988037784
150,5,1,2,1.9164476349957524,0.8384762592416841,1.9505625457721618,0.8338380418851592
170,5,1,2,1.9154054603935677,0.8385640967266194,1.9528034620790247,0.8336471456525176
190,5,1,2,1.9155016279080452,0.8385559914507985,1.9538917429088516,0.8335544386157425
210,5,1,2,1.916201184861521,0.8384970307706654,1.9548970907758707,0.833468796363187
230,5,1,2,1.915215286554298,0.8385801251269536,1.9535675368616527,0.8335820566543192
250,5,1,2,1.9172748407545344,0.8384065399516313,1.9544053033460096,0.8335106901043023
270,5,1,2,1.919868577380388,0.8381879323389319,1.9563549777132008,0.833344603807177
290,5,1,2,1.918911122917827,0.8382686293658553,1.955505124028497,0.8334170000257282
10,10,1,2,0.34505749102617683,0.9709175582418924,0.5029819291312142,0.9571526365960557
30,10,1,2,0.32598505915679005,0.9725250378748583,0.4870217967221818,0.9585122273759592
50,10,1,2,0.31931156687600876,0.9730874990751697,0.4791005685113451,0.9591870105522485
70,10,1,2,0.3178933939230947,0.973207026786866,0.48053989555851695,0.9590643990517641
90,10,1,2,0.3183803941337647,0.9731659810028117,0.4793704005396551,0.9591640244561178
110,10,1,2,0.3189814546580698,0.9731153218861549,0.47844447089057895,0.9592429013339193
130,10,1,2,0.3175406069849063,0.9732367606887511,0.4764619026737914,0.9594117897490648
150,10,1,2,0.3175306007879762,0.973237604039923,0.47812940167858337,0.9592697410357891
170,10,1,2,0.31705950217816153,0.9732773095911387,0.4789035547151682,0.9592037935045405
190,10,1,2,0.31632933612620406,0.973338850094481,0.47889625204721487,0.9592044155946188
210,10,1,2,0.3163020561871071,0.9733411493265237,0.4791659917374933,0.9591814373644589
230,10,1,2,0.3157694098335824,0.9733860422993091,0.47856384656354795,0.959232732116011
250,10,1,2,0.3154036403324625,0.9734168704090875,0.477434553119986,0.9593289328814134
