n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
40,15,1,2,0.24668053131967058,0.9792090524867952,0.7015682326399834,0.9402357276164759
60,15,1,2,0.24369653279109638,0.9794605524996061,0.7000854513233936,0.9403620408421423
80,15,1,2,0.24207622599104758,0.9795971166356361,0.6995632377040202,0.9404065264894943
100,15,1,2,0.24252595749562594,0.979559211965751,0.7002672284955899,0.9403465558473452
120,15,1,2,0.24265197703612892,0.9795485906749738,0.699727055913708,0.9403925713591882
140,15,1,2,0.24181915311027202,0.9796187834803711,0.6998793079060741,0.9403796015165993
160,15,1,2,0.24139883301112988,0.9796542092720754,0.6984756958235045,0.9404991705776268
40,20,1,2,0.14114647342554734,0.9881037676343349,0.7077515078270613,0.9397089948978175
60,20,1,2,0.13888253491133432,0.988294578909835,0.7072793748666109,0.9397492143398287
80,20,1,2,0.13648653409732817,0.9884965207773148,0.706256816878732,0.9398363226655372
100,20,1,2,0.13639159854668675,0.988504522219666,0.7060404594586,0.9398547534370394
120,20,1,2,0.13599118315961126,0.9885382703847588,0.7055798850630931,0.9398939882432141
140,20,1,2,0.13527197890601414,0.9885988869960812,0.7042811984015444,0.9400046190554012
160,20,1,2,0.13479444489214526,0.9886391349417338,0.7025887178255047,0.9401487958659298
40,25,1,2,0.10823638267614881,0.9908775251163913,0.7195801259195492,0.938701354128594
60,25,1,2,0.10550036403953485,0.9911081246678219,0.7167027926322947,0.9389464646143846
80,25,1,2,0.10325384791165612,0.9912974675342915,0.7141027184154156,0.939167956318948
100,25,1,2,0.10305777596606769,0.991313993044058,0.7137202485257894,0.9392005376611449
120,25,1,2,0.10290314050420173,0.9913270261673213,0.7125090687508479,0.9393037140517044
140,25,1,2,0.10208837703128164,0.9913956967855924,0.711598780175523,0.9393812585182755
160,25,1,2,0.1016474187760544,0.9914328620206877,0.7080151924270721,0.9396865324807279
40,30,1,2,0.10102689648365677,0.9914851614313586,0.7160197378032833,0.9390046517912759
60,30,1,2,0.09819904725101039,0.9917235007305999,0.7119144923698932,0.9393543640428684
80,30,1,2,0.09593918437910562,0.9919139684991971,0.712799147608634,0.9392790031952789
100,30,1,2,0.09550454622965247,0.9919506010575274,0.7130986441083336,0.9392534900811538
120,30,1,2,0.09532242488326337,0.9919659507705085,0.7122044502422303,0.9393296634927923
140,30,1,2,0.09461890932526762,0.9920252450932618,0.7121151223336698,0.9393372730412444
160,30,1,2,0.09415186887503818,0.9920646086110689,0.7089937196162917,0.9396031749928166
40,35,1,2,0.09932078439029735,0.9916289574852868,0.7129213797421018,0.9392685906449685
60,35,1,2,0.09651037746316202,0.9918658266966519,0.7114625411928228,0.9393928642656463
80,35,1,2,0.0943852392258865,0.9920449394840013,0.711776477103217,0.9393661211059836
100,35,1,2,0.0939854659720219,0.9920786335282529,0.7124616048530261,0.9393077573438402
120,35,1,2,0.093902769035493,0.9920856034648655,0.7120039552318793,0.9393467429981814
140,35,1,2,0.09309032625781902,0.9921540784882399,0.71229028783155,0.9393223512730677
160,35,1,2,0.09261184704198466,0.9921944060982436,0.7101910602934979,0.9395011775091233
