FSO_Att,AbsoluteHumidity,AbsoluteHumidityMax,AbsoluteHumidityMin,Distance,Particulate,ParticulateMax,ParticulateMin,RainIntensity,RainIntensityMax,RainIntensityMin,RelativeHumidity,SYNOPCode,Temperature,TemperatureDifference,TemperatureMax,TemperatureMin,Time,Visibility,VisibilityMax,VisibilityMin,WindDirection,WindSpeed,WindSpeedMax,WindSpeedMin
8.492588202,21.42306384,22.9300541538101,19.971829883091,3965.790065,0.0,0.0,0.0,0.0,0.0,0.0,79.5721852304182,0,27.80594227,-2.16,28.3915944140805,27.0433839998694,8,57755.00322,58186.6877300592,56428.1921759368,43.1605515974254,1.648282026,2.834876886,1.50824613503633
5.760164778,5.020805933,5.21500666838426,4.56084223830599,4821.23892,0.0,0.0,0.0,0.0,0.0,0.0,82.8840501083619,0,3.272060354,-0.005,3.35757265880767,3.24267347264259,15,33311.7112,36571.8486093906,31274.4940310573,50.7114334702599,1.183381751,1.729679439,1.15038171774157
2.542285832,2.667653647,2.90371615584278,2.57524564718618,2012.61884,0.0,0.0,0.0,0.0,0.0,0.0,37.6290404809959,0,5.641345236,0.2,5.82575545828969,5.2905813610328,4,74998.92754,76876.7883935203,67909.0639014377,84.5181223181752,1.108983517,1.945983717,1.05365276243197
4.283693527,6.314930522,6.70696116808509,6.2734564820778,4820.032115,0.0,0.0,0.0,0.0,0.0,0.0,93.5162777126946,0,4.903584308,0.2,5.01236829212039,4.75992909564496,1,10302.33396,10416.8724573642,9419.61057077165,99.6081051270795,0.0,0.057234325,0.0
4.029801377,8.890209493,9.43676225271612,8.19473565402257,2014.425523,0.0,0.0,0.0,0.0,0.0,0.0,39.8393292876261,0,24.44479087,1.5,26.7632244167565,24.3139554267921,14,37718.71516,40319.1892719994,35190.5645225211,82.0352129666451,0.553332951,1.385810843,0.517077691073623
6.46173829,4.809068058,5.25701439093377,4.71742866632333,4818.500186,0.0,0.0,0.0,0.0,0.0,0.0,86.3165580074239,0,2.030478599,-0.1,2.04126175953974,1.95676431591826,0,19738.14294,20668.0748021473,18213.6108472465,92.1933073749798,0.05659615,0.066354456,0.0557052216407772
1.831206194,6.474235764,6.84450632369819,6.27007353648264,4819.759504,0.0,0.0,0.0,0.0,0.0,0.0,73.7192094875582,0,8.943740987,-0.4,9.73320672497096,8.31568544223535,18,75000.29166,79540.7039587077,68985.0342799633,51.7761370825702,0.0,0.646412739,0.0
6.794513088,5.022794669,5.07642180843285,4.61330624264083,4827.272601,0.0,0.0,0.0,0.0,0.0,0.0,81.6365734098513,0,3.504413919,-0.4,3.55247001958548,3.36652476810141,21,50135.97739,53116.4250530277,48980.8596694017,96.708252303466,0.853880727,1.213404903,0.770735297040782
3.21804302,5.383178848,5.43272460696337,5.03988092947102,2020.342991,0.0,0.0,0.0,0.0,0.0,0.0,77.3790113614308,0,5.354761598,0.513,5.45089757040435,5.16859026552091,7,4339.787677,4759.53852412819,4025.33491001532,91.9137636063643,0.17446643,0.397307171,0.165758957779167
5.60146698,16.86881638,18.0163239254925,15.253793116783,2955.727536,0.0,0.0,0.0,0.0,0.0,0.0,83.0892044596585,0,22.78420407,-0.09,22.9837316518253,21.7797704422808,9,51644.30812,52438.4773852431,50003.101926983,90.4746485645587,0.0,0.076868328,0.0
9.498758863,18.38030986,19.1373388546702,17.2944738939133,3969.951967,0.0,0.0,0.0,0.0,0.0,0.0,51.7276629145098,0,32.93744783,-0.68,34.0785690798473,31.3185626415748,10,27046.07355,29418.7527874274,26595.3591195186,23.6800524885981,0.467472846,0.994598094,0.460505542825301
6.315617719,5.123919811,5.29094328692257,5.11734687831282,4827.895383,0.0,0.0,0.0,0.0,0.0,0.0,78.2252630628374,0,4.443967427,0.99,4.49804014394835,4.44329498955497,13,33666.2897,35281.460985463,33356.5384786891,37.5944672130518,0.733810252,2.36513349,0.722449112531882
3.15969209,8.574516337,8.8872488327406,8.26241351949451,2019.929617,0.0,0.0,0.0,0.0,0.0,0.0,65.1639760114448,0,15.43161143,0.12,16.6951579751008,14.1774992867461,10,74961.85113,81281.788680934,72983.1665023622,76.2990436365333,0.899797996,1.650181863,0.820355929874794
3.289315149,2.500199047,2.61034935722434,2.39049339912216,2017.138778,0.0,0.0,0.0,0.0,0.0,0.0,29.837900974325,0,8.211599412,-1.7,8.85150997043336,7.49290932874377,0,69658.50975,73335.5718265616,68445.1394434121,102.32880165457,1.059237427,1.787382305,1.01491809774798
3.336393699,8.240804332,8.68177679346861,8.105251647042,2014.12824,0.0,0.0,0.0,0.0,0.0,0.0,84.5668513174021,0,10.58015781,0.97,10.6073875044886,10.1447236827594,13,3415.797791,3692.09339370282,3210.76204124242,94.4588706310648,1.758318612,2.367573543,1.59691785458635
3.310716845,2.926349919,3.11637458823553,2.67777196508052,2015.745206,0.0,0.0,0.0,0.0,0.0,0.0,53.0769505209717,0,1.876030023,0.972,1.91951693471549,1.69742167344209,5,66232.62766,70857.46613566,64533.7275388041,91.2775829659877,0.743325553,0.909728919,0.708695024767634
2.351063988,4.264761991,4.36124941682864,3.95287176970016,2015.082405,0.0,0.0,0.0,0.0,0.0,0.0,59.9891498661651,0,5.683942656,-0.327,6.1444161511441,5.61249552727568,19,41756.59632,45053.7119544843,38891.9037845,91.3102129452825,0.90929624,1.839991407,0.890627766494515
5.127314026,4.630278616,4.80582585027162,4.26579941800899,4818.700781,0.0,0.0,0.0,0.0,0.0,0.0,74.8147089634343,0,3.592529108,0.1,3.92934622077837,3.45907856326329,13,59454.21567,59547.1823936671,58935.7654045091,79.2738337353745,0.009907483,0.014693478,0.0093043061173986
9.385235334,19.16235768,20.2807648574949,18.9928072822018,2114.878472,0.0,0.0,0.0,0.0,0.0,0.0,90.2937723861624,0,23.56012304,0.2,24.3624684181166,21.7645739936923,21,14817.90351,14866.6340473051,14623.8609095299,65.504216567501,0.0,0.0,0.0
7.705960844,18.98873012,20.2333380244035,18.8171091639614,3969.669502,0.0,0.0,0.0,0.0,0.0,0.0,63.4288553737559,0,29.74506578,-0.31,31.9571360480869,26.8530554421499,15,29545.90461,32166.1632180676,28409.9820438706,88.0060746620789,1.226088252,2.712097062,1.16838462632872
