remove_feature,train_rmse,train_r2,val_rmse,val_r2,oob_r2,next_remove,importance_score
All Features,0.2044911611175587,0.9863184159051502,0.367049312334738,0.9359275199847886,0.9041302055299745,SYNOPCode,0.0
SYNOPCode,0.203608745257574,0.986436238098391,0.3616445595282589,0.9378005453453526,0.9054470151880349,WindSpeed,0.000992125688445854
WindSpeed,0.2050535650533404,0.9862430565815953,0.363269968257207,0.937240178933572,0.9036088585326666,WindSpeedMin,0.0018859596787282815
WindSpeedMin,0.19889995965793653,0.9870563520410746,0.3654101679353199,0.9364985034387925,0.908937677271852,Distance,0.0025858689202993726
Distance,0.20211770424469147,0.9866341674547184,0.3530831614792224,0.9407106460685528,0.9064296133030433,Particulate,0.003986951349106767
Particulate,0.20020879759268756,0.9868854432376808,0.35835795688521227,0.9389259375932143,0.9077037037958283,Time,0.004106866473482437
Time,0.20172555215765334,0.9866859823551903,0.35565547753561877,0.9398436180271325,0.9072136622650553,WindDirection,0.0042016260719806575
WindDirection,0.19653872912942075,0.9873618475636102,0.3603819177778235,0.9382341121005033,0.9111195125925132,Frequency,0.0045578199190040684
Frequency,0.20230623391188382,0.9866092212858902,0.377317194282108,0.9322926373299552,0.9063905843940296,ParticulateMax,0.005269441912546452
ParticulateMax,0.20435504570657617,0.9863366235835566,0.3888755661584065,0.9280809374910346,0.9025587841371265,WindSpeedMax,0.0054337595628907
WindSpeedMax,0.20275767162702277,0.986549392706972,0.38210178815699364,0.9305646154652968,0.9044202879590618,TemperatureDifference,0.0069817795965666195
TemperatureDifference,0.200147825799116,0.9868934298626348,0.37751681402408693,0.9322209771897862,0.9073608269609788,VisibilityMax,0.008655477953896007
VisibilityMax,0.20128466956568244,0.9867441158343325,0.37797655903917726,0.9320557922714536,0.9065789436975408,VisibilityMin,0.01259241465313631
VisibilityMin,0.20407146454793468,0.9863745182944983,0.3788552279331298,0.9317395300471737,0.9028154564476888,Temperature,0.00905030286319894
Temperature,0.20470976182167502,0.9862891490900727,0.3952283073776183,0.9257119789039946,0.9022727812482422,ParticulateMin,0.013023698665076263
ParticulateMin,0.20203916958465626,0.9866445522667507,0.3973141539768487,0.9249257887333062,0.90337288377525,AbsoluteHumidityMax,0.01628235320286944
AbsoluteHumidityMax,0.19939311235915924,0.9869920874910498,0.3958878994743486,0.9254638151045753,0.9065195156509306,Visibility,0.03389363401688917
Visibility,0.21979971580657082,0.9841932874515883,0.41044153636709313,0.9198828828025364,0.8884371153484169,TemperatureMin,0.03856658137841001
TemperatureMin,0.226122101177809,0.9832708711118794,0.4501033001987254,0.9036510249030706,0.8844539054353147,AbsoluteHumidity,0.06868650276594652
AbsoluteHumidity,0.23128515946622177,0.9824981951800684,0.45235219655957243,0.9026858235079535,0.8782807686880785,RainIntensityMin,0.07154520730327274
RainIntensityMin,0.23125726906371707,0.9825024159692489,0.44843347274421463,0.9043645843455219,0.8784625491896478,RainIntensityMax,0.09633480094026067
RainIntensityMax,0.23242876838597287,0.9823246889886676,0.44793153596257623,0.9045785561854529,0.8776249811632876,TemperatureMax,0.11353266271842802
TemperatureMax,0.24285129802314068,0.980703961339169,0.4360248985241788,0.9095840012079613,0.866418542676598,RainIntensity,0.2551119910467186
RainIntensity,0.37046703336404874,0.955095854375917,0.8057270601428157,0.6912559449452704,0.6680286047805241,AbsoluteHumidityMin,0.40373795725758815
AbsoluteHumidityMin,0.4644067916810306,0.9294357991809251,1.1979873603292222,0.3174614638903418,0.4760517234973006,RelativeHumidity,1.0
RelativeHumidity,0.4644067916810306,0.9294357991809251,1.1979873603292222,0.3174614638903418,0.4760517234973006,RelativeHumidity,1.0
