n_estimators,max_depth,min_samples_leaf,min_samples_split,train_mse,train_r2,val_mse,val_r2
40,20,1,2,0.14019420147507633,0.988184027864174,0.7037717564155195,0.94004801672964
60,20,1,2,0.13794232012788907,0.98837382292682,0.7031912946759,0.9400974643412918
80,20,1,2,0.1356157589090172,0.9885699122247027,0.7030964015843518,0.9401055479692367
100,20,1,2,0.1355628233870466,0.988574373783355,0.7025816722144093,0.9401493960581864
120,20,1,2,0.13534143827835915,0.9885930327596039,0.7022817371288632,0.9401749465339861
140,20,1,2,0.13457258233206762,0.9886578341589646,0.7022074286393757,0.9401812766279093
160,20,1,2,0.13412116035412713,0.9886958813068261,0.699859558292119,0.9403812839207518
40,25,1,2,0.10781868371851482,0.9909127299907201,0.7096097574362897,0.9395506967727946
60,25,1,2,0.10472359192413457,0.9911735932647745,0.7079105480199699,0.939695446790924
80,25,1,2,0.10251050914876268,0.99136011827175,0.7085765807028108,0.9396387096742449
100,25,1,2,0.10229416766685186,0.9913783521565697,0.7094270447547056,0.9395662614605357
120,25,1,2,0.1021888723590156,0.9913872267491729,0.7091718623974322,0.9395879995997474
140,25,1,2,0.10138596670240001,0.9914548979564443,0.7084924716610125,0.9396458746447354
160,25,1,2,0.10091744145951971,0.9914943866168636,0.7042732066957516,0.9400052998423292
40,30,1,2,0.10008258592036476,0.9915647506524963,0.7118079927684832,0.9393634363909186
60,30,1,2,0.09740537533982528,0.9917903936911424,0.7102258210762653,0.9394982163532544
80,30,1,2,0.09536415752946133,0.9919624334225766,0.7110053577893625,0.939431810204448
100,30,1,2,0.09483494700193307,0.9920070368140256,0.710916935722979,0.9394393425872074
120,30,1,2,0.09470431752580973,0.9920180466434889,0.710923629716303,0.9394387723481034
140,30,1,2,0.09397937944981458,0.9920791465179204,0.7108441806472031,0.9394455403509653
160,30,1,2,0.09348503117554369,0.9921208116179939,0.7079040664953835,0.9396959989305204
40,35,1,2,0.09866897086150882,0.9916838942117198,0.7186483399306535,0.9387807298885739
60,35,1,2,0.09573974414520539,0.9919307778980291,0.7160352909336528,0.9390033268716507
80,35,1,2,0.09380025236779438,0.9920942438656541,0.7127239934041546,0.9392854053328592
100,35,1,2,0.09326836500331712,0.992139072868651,0.7125898994419827,0.9392968283530407
120,35,1,2,0.09312728018494472,0.9921509639045507,0.7125773090213006,0.9392979008892476
140,35,1,2,0.09245541722210858,0.9922075904551815,0.7120956126326441,0.9393389350080097
160,35,1,2,0.0921020454585895,0.9922373736478342,0.7094021584355075,0.9395683814435822
40,40,1,2,0.09917224456478657,0.9916414768507158,0.7154150581928123,0.9390561624430751
60,40,1,2,0.09609694350331399,0.9919006721046515,0.7127864266375861,0.9392800868526388
80,40,1,2,0.09382224372163787,0.9920923903708483,0.7117107691767626,0.9393717185464486
100,40,1,2,0.09330482347371323,0.9921360000434857,0.7116128562934072,0.9393800594204484
120,40,1,2,0.09315673431790358,0.992148481425171,0.7108630327869792,0.9394439343996633
140,40,1,2,0.0925243923748531,0.9922017770301302,0.7108218791558785,0.9394474401410927
160,40,1,2,0.09202880497403952,0.9922435465673669,0.7066280564205485,0.9398046979994471
